item_id,item,quantity,price_per_unit,price,has_sold,created_at,insert_time
11822837448835367,Iron Ore,6,29.17,175.0,False,2025-09-21T18:35:07Z,2025-09-21 15:04:52.702185
7319239998178087,Iron Ore,2,25.0,50.0,False,2025-09-21T18:18:58Z,2025-09-21 15:04:52.702445
2534063856288603,Iron Ore,5,40.0,200.0,False,2025-09-21T18:18:08Z,2025-09-21 15:04:52.702595
8726618695074574,Iron Ore,1,25.0,25.0,False,2025-09-21T18:11:27Z,2025-09-21 15:04:52.702730
5067441681203938,Iron Ore,6,29.17,175.0,False,2025-09-21T17:54:04Z,2025-09-21 15:04:52.702915
16326442929684587,Iron Ore,3,27.67,83.0,True,2025-09-21T17:47:35Z,2025-09-21 15:04:52.703051
16326442895278827,Iron Ore,6,27.67,166.0,True,2025-09-21T17:47:18Z,2025-09-21 15:04:52.703178
16326442929684581,Iron Ore,6,27.67,166.0,True,2025-09-21T17:47:12Z,2025-09-21 15:04:52.703362
5067441681203938,Iron Ore,6,28.0,168.0,False,2025-09-21T17:39:55Z,2025-09-21 15:04:52.703696
1971178265707670,Iron Ore,6,28.33,170.0,True,2025-09-21T17:36:22Z,2025-09-21 15:04:52.703852
5911771981807707,Iron Ore,2,30.0,60.0,False,2025-09-21T17:34:04Z,2025-09-21 15:04:52.704004
5911771981807703,Iron Ore,6,29.5,177.0,False,2025-09-21T17:33:56Z,2025-09-21 15:04:52.704139
3097102377158030,Iron Ore,6,28.83,173.0,True,2025-09-21T17:33:22Z,2025-09-21 15:04:52.704320
1971219096207986,Iron Ore,6,29.0,174.0,True,2025-09-21T17:31:54Z,2025-09-21 15:04:52.705164
6474817586987501,Iron Ore,6,29.17,175.0,False,2025-09-21T17:11:16Z,2025-09-21 15:04:52.705675
5067441460871246,Iron Ore,6,29.17,175.0,False,2025-09-21T17:11:13Z,2025-09-21 15:04:52.705808
5067441681203936,Iron Ore,6,29.17,175.0,False,2025-09-21T17:11:08Z,2025-09-21 15:04:52.705932
6474817677885902,Iron Ore,6,29.17,175.0,False,2025-09-21T17:11:04Z,2025-09-21 15:04:52.706051
6474817677885907,Iron Ore,6,29.17,175.0,False,2025-09-21T17:11:01Z,2025-09-21 15:04:52.706184
6474817677885908,Iron Ore,6,29.17,175.0,True,2025-09-21T17:10:57Z,2025-09-21 15:04:52.706314
